Country,2019Score
Afghanistan,51.5
Albania,66.5
Algeria,46.2
Angola,50.6
Antarctica,N/A
Argentina,52.2
Armenia,67.7
Australia,80.9
Austria,72
Azerbaijan,65.4
Bahamas,62.9
Bahrain,66.4
Bangladesh,55.6
Barbados,64.7
Belarus,57.9
Belgium,67.3
Belize,55.4
Benin,55.3
Bhutan,62.9
Bolivia,42.3
Bosnia and Herzegovina,61.9
Botswana,69.5
Brazil,51.9
Brunei,65.1
Bulgaria,69
Burkina Faso,59.4
Burma,53.6
Burundi,48.9
Cabo Verde,63.1
Cambodia,57.8
Cameroon,52.4
Canada,77.7
Central African Rep.,49.1
Chad,49.9
Chile,75.4
China,58.4
Colombia,67.3
Comoros,55.4
Congo,39.7
Costa Rica,65.3
C™te d'Ivoire,62.4
Croatia,61.4
Cuba,27.8
Cyprus,68.1
Czech Republic,73.7
Czechia,N/A
Dem. Rep. Congo,50.3
Den+A45mark,76.7
Djibouti,47.1
Dominica,63.6
Dominican Republic,61
Ecuador,46.9
Egypt,52.5
El Salvador,61.8
Equatorial Guinea,41
Eritrea,38.9
Estonia,76.6
eSwatini,54.7
Ethiopia,53.6
Falkland Islands,N/A
Fiji,62.2
Finland,74.9
French Southern and Antarctic Lands,N/A
France,63.8
Gabon,56.3
Gambia,52.4
Georgia,75.9
Germany,73.5
Ghana,57.5
Greece,57.7
Greenland,N/A
Guatemala,62.6
Guinea,55.7
Guinea-Bissau,54
Guyana,56.8
Haiti,52.7
Honduras,60.2
Hong Kong,90.2
Hungary,65
Iceland,77.1
India,55.2
Indonesia,65.8
Iran,51.1
Iraq,N/A
Ireland,80.5
Israel,72.8
Italy,62.2
Jamaica,68.6
Japan,72.1
Jordan,66.5
Kazakhstan,65.4
Kenya,55.1
Kiribati,47.3
Kosovo,67
Kuwait,60.8
Kyrgyzstan,62.3
Laos,57.4
Latvia,70.4
Lebanon,51.1
Lesotho,53.1
Liberia,49.7
Libya,N/A
Lithuania,74.2
Luxembourg,75.9
Macau,71
Macedonia,71.1
Madagascar,56.6
Mail,N/A
Malawi,51.4
Malaysia,74
Maldives,53.2
Mali,58.1
Malta,68.6
Mauritania,55.7
Mauritius,73
Mexico,64.7
Micronesia,51.9
Moldova,59.1
Mongolia,55.4
Montenegro,60.5
Morocco,62.9
Mozambique,48.6
Myanmar,N/A
Namibia,58.7
Nepal,53.8
Netherlands,76.8
New Caledonia,N/A
New Zealand,84.4
Nicaragua,57.7
Niger,51.6
Nigeria,57.3
Norway,73
Oman,61
Pakistan,55
Palestine,N/A
Panama,67.2
Papua New Guinea,58.4
Paraguay,61.8
Peru,67.8
Philippines,63.8
Poland,67.8
Portugal,65.3
Puerto Rico,N/A
Qatar,72.6
Romania,68.6
Russia,58.9
Rwanda,71.1
S. Sudan,N/A
São Tomé and Príncipe,54
Saint Lucia,68.7
Saint Vincent and the Grenadines,65.8
Samoa,62.2
Saudi Arabia,60.7
Senegal,56.3
Serbia,63.9
Seychelles,61.4
Sierra Leone,47.5
Singapore,89.4
Slovakia,65
Slovenia,65.5
Solomon Islands,54.6
Somalia,N/A
Somaliland,N/A
South Africa,58.3
South Korea,72.3
Spain,65.7
Sri Lanka,56.4
Sudan,47.7
Suriname,48.1
Sweden,75.2
Switzerland,81.9
Syria,N/A
Taiwan ,77.3
Tajikistan,55.6
Tanzania,60.2
Thailand,68.3
Timor-Leste,44.2
Togo,50.3
Tonga,57.7
Trinidad and Tobago,57
Tunisia,55.4
Turkey,64.6
Turkmenistan,48.4
Uganda,59.7
Ukraine,52.3
United Arab Emirates,77.6
United Kingdom,78.9
United States of America,76.8
Uruguay,68.6
Uzbekistan,53.3
Vanuatu,56.4
Venezuela,25.9
Vietnam,55.3
Western Sahara,N/A
Yemen,N/A
Zambia,53.6
Zimbabwe,40.4
Northern Cyprus,N/A
